os,lineage_full,version_full,desktop_full,maintained_full,iso_access_note,customers_note,official_image_note
银河麒麟桌面操作系统,⚠️ 官方未声明。V10 SP1 实测为 Debian/Ubuntu 系（deb/apt、ID_LIKE=debian）；V11 官网只写「基于全新内核开发」+ 磐石架构 + 开明包格式 + OSTree 原子更新，全文不提上游发行版，但出现「一键转换 deb 包为开明包」，间接指向 deb 底座。流传的「V11 桌面基于 openKylin」未找到任何一手出处，按未证实处理,V11（2025-08-26 在 2025 中国操作系统产业大会发布，官方称首个采用 6.6 内核的商业版国产操作系统；官网挂 2603 版本说明，PDF 上传路径日期 20260228/20260423/20260511）；V10 SP1 最新为 2503 版本（2025-04）,V10 SP1 = UKUI；V11 = ⚠️ 未公开（官网 V11 产品页全文未出现 UKUI 字样，只写「新桌面、新壁纸、新屏保」）,活跃,官网试用页未登录即可看到 27 个下载中间页，桌面版含 `Kylin-Desktop-V11-2603-Release-20260228-X86_64.iso`（7.64 GB）、同版 ARM64（7.81 GB）/ Loong64（5.51 GB）/ SW64（5.70 GB），以及 `Kylin-Desktop-V10-SP1-2503-Release-20250430-X86_64.iso`（4.45 GB）与其 HWE、HWE-PP、ARM64、LoongArch64、SW64、mips64el 各版本；每页给出文件名、大小、SHA256 与 SM3。「立即下载」的最终字节流直链由客户端拼装，本轮未解引用，故这些字节数取自页面而非我们 HEAD 到的结果。,"桌面版在厂商 registry 里就不存在——这是比「我们拉不到」更强的证据。cr.kylinos.cn（Harbor v2.11.1，站点标题「服务器软件中心」）的公开项目可匿名枚举：basekylin(160)/eco(107)/kylin(27)/hostos(2)/goharbor(18)/k8s.gcr.io(26)/ingress-nginx(2)/bitnami(1)。kylin 项目 27 个仓库全部枚举，全是 kylin-server-v10sp1|sp2|sp3 的 {基础,-init,-minimal,-micro} × {x86_64,aarch64,loongarch64}，含 desktop 或 ukui 的为 0 个。另注：厂商自己就在用 micro/minimal/init 分档。registry.kylinos.cn 是另一个 Harbor，只有空的 library 项目。"
OpenCloudOS,自主演进选型，RHEL 系包管理（rpm/dnf，8/9 双系列）,9.6（镜像快照 2026-07-13）,"无独立桌面 ISO（实测 9.6 只有 boot/everything/minimal），但官方文档有「桌面安装」章节提供 GNOME 43（dnf group install ""Server with GUI""）；另有中兴新支点开源的超凡桌面 EX-NDE，目前只支持 OpenCloudOS 8",活跃,`mirrors.opencloudos.tech` 直连可取：`OpenCloudOS-9.6-20260713.0-x86_64-boot.iso` 实测 **1076627456 B（1.08 GB）**（无桌面版 ISO）,org 带 open_source badge、profile 指向 opencloudos.org，官方性明确。提供 busybox/microdnf/minimal/init 四档，对应 RHEL UBI 的分档惯例，但四档全为服务器/基础镜像，无桌面档。旧的 opencloudos/opencloudos 已自行标注废弃。
新支点桌面操作系统（NewStart NSDL）,⚠️ 官方只说「基于 Linux 稳定内核」。桌面线血统第三方说法互相矛盾（Debian 系 vs RHEL 系），不下结论。同厂服务器线 CGSL V7 明确基于 6.6 内核,官网下载中心 x86 最新为 V4.5.2；此前 V4.4.0 提供 X86/ARM/MIPS/LoongArch 四架构。⚠️ 官方未标任何发布日期。桌面 V4.x 与服务器 V7 是两套版本号体系,EX-NDE 超凡桌面（Qt 自研 + NDE-Wayland；支持桌面/服务器/平板三种交互模式）。该桌面 2023-04 在 OpenCloudOS V9 发布会上开源，Gitee 组织 opencloudos-exnde，安装包约 104MB，目前只支持 OpenCloudOS 8,品牌活跃（桌面线最近更新未查到）,桌面 V4.5.2 无 HTTP 直链，只经百度网盘与微云分发，提取码明文印在未登录可见的下载页上。同厂服务器版是真直链：`NewStart-CGSL-7.02.06B7-x86_64-dvd.iso` HTTP 200 / **3935305728 B（3.94 GB）**——该镜像站的目录索引返回 401，文件 URL 返回 200。,未公开。官网仅一句「支持容器化场景」。查过官网 downloads/support、镜像站 nsosmirrors.gd-linux.com（实测 403 需登录）、cr./registry.gd-linux.com（不解析）、Docker Hub newstart（0 仓库）。
AOSC OS（安同 OS）,完全独立自建，不属 Debian/RHEL 任一系；自研包管理器 oma,滚动发布，下载页标注 2026-06-21,KDE Plasma（硬证据：aoscbootstrap/recipes/mainline-desktop.lst 内容只有一行 kde.lst）；一级架构 x86-64/AArch64/LoongArch，另有 RISC-V 与 WSL 构建,活跃,`releases.aosc.io` 直连可取：`aosc-os_desktop_20260621_amd64.tar.xz` 实测 **4864387556 B（4.86 GB）**（AOSC 交付 tarball 而非 ISO）,org profile 指向 aosc.io，另有 AOSC-Dev/aosc-os-docker-files；为基础镜像。实测 aosc/aosc-os:latest 是六架构 manifest（amd64/arm64/loong64/mips64le/ppc64le/riscv64），是名录里架构覆盖最广的一个。
RevyOS,Debian 13 trixie 基线（已从 sid 迁出），另新开 Ubuntu noble 线；RISC-V,镜像站已有 20260504（官方文档停在 20251226，changelog 页 404）,Xfce4,活跃（镜像站）,`mirror.iscas.ac.cn` 直连可取，交付物是开发板刷机镜像：`boot-lpi4a-20260504_080619.ext4.zst` 实测 **62695800 B**；本轮未见 ISO 形态,无任何官方容器镜像（Docker Hub revyos 命名空间 0 仓库，ghcr 匿名探测全 403）。主导方是 PLCT Lab 而非平头哥，玄铁只是优化目标芯片。
Bianbu OS,Ubuntu 26.04 resolute 血统；RISC-V,v4.0（K3 线 v4.0.6，2026-08-26）,未核实具体桌面环境,活跃,`archive.spacemit.com` 的版本目录直连可达（HTTP 200），交付物为 K1/K3 开发板镜像,未查到官方容器镜像。注意「赛昉」是 StarFive，与 Bianbu 无关。
FydeOS,Chromium OS 衍生 + Gentoo Portage overlay 体系。openFyde 宣称 0 闭源组件，FydeOS 含闭源组件并提供自动更新,商业版 FydeOS v23「Chromatic Cadence」（对应 Chromium OS r150，⚠️ 精确发布日期未查到）；开源版 openFyde r144,ChromeOS 风格自研 shell（Chromium OS Ash/Aura），非传统 Linux DE，无 X11/Wayland 传统 DE 概念,活跃（openFyde overlay 2026-06-11 更新）,`download.fydeos.io/v23.0/FydeOS_for_PC_iris_v23.0-com.bin.zip` HTTP 200 / `application/zip` / **2581036906 B（2.58 GB）**，页面公示 SHA-256 `478a4b84…`。FydeOS 以 raw disk image 发布而非 `.iso`（早期 `.img.xz`、现 `.bin.zip`），官网专设一节说明理由。企业版另走通道：「本页面提供的下载镜像仅面向个人用户。若需在企业、学校或组织内批量部署，请注册 FydeOS 账号，并在云集管平台下载企业镜像」。openFyde 只提供 15 个硬件 overlay 的源码仓库，无整机预编译镜像。,未公开（Docker Hub 搜 openfyde count=0，无自建 registry）。架构只有 amd64 与 arm64，无 RISC-V。
普华桌面操作系统,⚠️ 官方未声明，只写「以开源 Linux 为基础」。服务器线（现名普华太极）明确融合 openEuler，桌面线是否同源官方未说,⚠️ 两个官方来源不一致，如实并列：官网产品详情页是 V4.0（4.4 内核，V4.0 系列发布于 2016 年）；Wayback 于 2026-06-08 抓取的官网通用产品页写 V5.0。V5.0 的发布日期、内核、桌面环境全部未查到,V4.1 = KDE 5.4（Plasma）；V5.0 未查到,桌面线沉寂但未 EOL：官网近两年新闻全是车用 AUTOSAR / 开源小满 EasyXMen 方向，首页版权信息只到 2009–2022，但未见任何停售或 EOL 公告，产品页仍在架,"官网 `www.i-soft.com.cn` 本机直连多路径持续返回 HTTP 502（`Server: WAF`），未能访问在线页面，名录内容取自 Wayback 2026 年快照。快照显示 `/service/download.html` 页尾内联 `window.location.href=""/login""`，匿名被强制跳转登录页。",未公开。查过官网、AtomHub、Docker Hub isoft（只有无关的 master 一个仓库）、registry.i-soft.com.cn（域名不解析）。
中标麒麟桌面操作系统（NeoKylin）,⚠️ 未查到官方结论；历史上中标 Linux 被 DistroWatch 归为 Red Hat 系,⚠️ 未查到 V7 之后的新版本；桌面版确切最后版本号与日期未公开,未查到,停更（维基标「停止开发」；官方容器镜像最后更新 2019-09-16；无 2025/2026 新版本公告）,`download.cs2c.com.cn` 是开放 autoindex：`NeoKylin-Linux-Desktop-6.0-x86_64-B045-20141201.iso` HTTP 200 / **3482347520 B（3.48 GB）**，i386 版 3667734528 B。桌面 7.x 无公开 ISO（定向探 14 个 `iso/` 路径全 404）。官网是停更遗留站，`/support/trial.html` 与 `/scheme/product.html` 均返回 HTTP 500。,有官方命名空间且归属可确证——实测 Docker Hub 组织 cs2cneokylin 的 company 字段为「中标软件有限公司」。但仓库只有服务器版（ns76-base-x86_64 自述 The official build of NeoKylin Linux Advance Server v7.6、ns76-base-aarch64、ns74-base-x86_64、neokylin-hygon-base），last_updated 均为 2019-09-16，桌面版未公开。
一铭桌面操作系统（EmindDesktop）,⚠️ 官方未声明。第三方称基于 Ubuntu 但未找到官方一手出处；官方历史表述只有「基于国家 Linux 标准开发」,⚠️ 最后可查桌面版本为 EmindDesktop 4.0 / 4.0 SP1（2016 年 6 月）,未查到,疑似停止：桌面版最后公开版本 2016 年，官网 Wayback 最后可用快照 2023-04-01，2023–2025 无新版本/新闻/中标公示。未查到工商注销或吊销证据，公司是否存续未确认。部分省级软件正版化平台仍列该条目，属存量采购目录，不代表在维护,`emindsoft.com.cn` 解析到 171.108.41.73，但 http 与 https 直连与经代理均返回 000，TCP 21/22/80/443 全部 SYN 超时；`emindos.org` 及其 `www`、`bbs` 子域全部 NXDOMAIN。,未公开（无任何相关命名空间，无自建 registry）。
EulerOS（华为）,openEuler 的商业/闭源对应物,未公开（面向服务器与华为云 B2B）,未见桌面版,活跃（服务器向）,官方门户里没有 EulerOS 的 ISO 条目。判据是一个正对照：同一个华为企业支持 API 上，TaiShan 节点匿名可取到 98 个版本，而 EulerOS 三个节点（`EulerOS for Server`、`CloudBU EulerOS`、`Euler OS for Cloud BU`）的版本数组全为空（`tip` 为 `softwareEos` 与 `actualNoSoft`），排除了匿名 ACL 的可能。该体系的下载端点本身是登录墙（`/dl/download.do` 对任意 nid 返回 `x-login-url: https://uniportal.huawei.com/uniportal1/`），但 EulerOS 在其中无条目。镜像站 `repo.huaweicloud.com/euler/` 有 2.0～2.10 各版本的 RPM 仓库（`2.10/os/x86_64/` 为 200），`iso/` 与 `ISO/` 均 404。约 2022 年前曾可直接下载，承载直链的 OBS 桶现返回 `NoSuchBucket`。,Docker Hub euleros 命名空间 0 个仓库。未见桌面版产品线。
